ID,Title,Pre-condition,Test Steps,Test Data,Expected Result (ER),
PRODUCTS_TC_019,Verify product wishlist/favorites functionality,User logged in,"1. Click heart icon on product
2. Check account wishlist",Product: any,"Product added to wishlist, heart icon fills, appears in account wishlist page",
PRODUCTS_TC_020,Verify product share functionality works,User on product page,"1. Click share icon
2. Select platform (email, social)",Share: any platform,"Share dialog opens with product link, image, title pre-filled for selected platform",
PRODUCT_DETAIL_TC_001,Verify product detail page loads with all information,User clicks product from collection,"1. Navigate to product page
2. Observe content",Product: any active,"Page shows: images gallery, title, price, description, variants, Add to Cart, reviews",
PRODUCT_DETAIL_TC_002,Verify product image gallery supports zoom on hover,User on product page desktop,1. Hover over main product image,Image: main product,"Image magnifies/zooms to show detail, zoom area follows cursor",
PRODUCT_DETAIL_TC_003,Verify product image gallery supports swipe on mobile,User on product page mobile,1. Swipe left/right on image,Touch: swipe gesture,"Gallery slides to next/previous image smoothly, indicators update",
PRODUCT_DETAIL_TC_004,Verify product image thumbnails are clickable,User on product page,1. Click thumbnail image below main,Thumbnails: multiple,"Clicked thumbnail becomes main image, active state highlighted",
PRODUCT_DETAIL_TC_005,Verify product variant selector updates price dynamically,User on product page with variants,"1. Select different size/color variant
2. Observe price display","Variants: S/M/L, Red/Blue","Price updates if variant has different price, SKU updates, inventory status refreshes",
PRODUCT_DETAIL_TC_006,Verify out-of-stock variant shows appropriate messaging,User selects unavailable variant,1. Select variant with inventory=0,Variant: out of stock,"Button changes to ""Sold Out"" or ""Notify when available"", disabled state, grayed out",
PRODUCT_DETAIL_TC_007,Verify quantity selector allows valid range (1-10),User on product page,"1. Change quantity using +/- buttons
2. Enter value manually",Quantity: 1 to 10,"Input accepts 1-10, blocks <1 or >10, shows error if invalid, updates Add to Cart behavior",
PRODUCT_DETAIL_TC_008,Verify Add to Cart button adds item with selected options,User configured product,"1. Select variant and quantity
2. Click Add to Cart","Variant: selected
Qty: 2","Success toast/notification, cart badge increments, item appears in mini-cart with correct options",
PRODUCT_DETAIL_TC_009,Verify Add to Cart shows error if variant not selected (required),User on product with required variant,"1. Leave variant unselected
2. Click Add to Cart",Variant: none selected,"Inline error: ""Please select a size/color"", button doesn't submit, form validation triggers",
PRODUCT_DETAIL_TC_010,Verify product description expands/collapses for long content,User on product with long description,"1. Click ""Read more"" if description truncated",Description: long text,"Full description expands, button changes to ""Read less"", smooth animation",
PRODUCT_DETAIL_TC_011,Verify product reviews section loads and displays ratings,User scrolls to reviews,"1. Locate reviews section
2. Observe content",Reviews: enabled,"Shows average star rating, total review count, individual reviews with author, date, comment",
PRODUCT_DETAIL_TC_012,Verify user can submit a product review (if logged in),User logged in and purchased product,"1. Scroll to reviews
2. Click ""Write a review""
3. Fill form and submit","Rating: 5 stars
Comment: Great product!","Review submitted, appears after moderation/approval, user receives confirmation",
PRODUCT_DETAIL_TC_013,Verify product review form validates required fields,User submitting review,"1. Leave rating or comment empty
2. Try to submit","Rating: none
Comment: (empty)","Inline errors: ""Please select a rating"", ""Please write a review"", form not submitted",
PRODUCT_DETAIL_TC_014,Verify related products section displays relevant items,User at bottom of product page,"1. Scroll to ""You may also like""",Section: related products,"Shows 4-6 products from same collection/type, with images, prices, quick add buttons",
PRODUCT_DETAIL_TC_015,Verify product SKU and inventory status display correctly,User on product page,1. Inspect product details section,Product: with inventory tracking,"Shows: SKU number, ""In stock"" or ""X left in stock"", updates in real-time if possible",
PRODUCT_DETAIL_TC_016,Verify product shipping/delivery information is visible,User on product page,1. Look for shipping info tab/section,Info: shipping,"Displays: estimated delivery times, shipping costs, free shipping threshold, return policy link",
PRODUCT_DETAIL_TC_017,Verify product size guide modal opens and displays correctly,User clicks size guide link,"1. Click ""Size Guide"" near variant selector",Link: size guide,"Modal/popup opens with size chart image/table, close button works, accessible via keyboard",
PRODUCT_DETAIL_TC_018,Verify product page SEO structured data is present,User views page source,"1. View source, search for JSON-LD",Source: structured data,"Contains Product schema: name, image, description, offers (price, availability), aggregateRating",
PRODUCT_DETAIL_TC_019,Verify product page loads correctly with slow network,User throttles network,"1. Set DevTools to Slow 3G
2. Load product page",Network: slow 3g,"Page loads progressively, skeleton loaders show, critical content prioritized, no timeout errors",
PRODUCT_DETAIL_TC_020,Verify product page handles concurrent variant selection correctly,User rapidly changes variants,"1. Quickly click multiple variant options
2. Observe price/inventory updates",Variants: rapid selection,"Final selected variant state is correct, no race conditions, UI doesn't freeze or show stale data",
CART_TC_001,Verify cart page displays all added items correctly,User has items in cart,"1. Add 2 different products to cart
2. Navigate to /cart",Cart: 2 items,"Page shows each item with image, title, variant, price, quantity selector, line total, remove button",
CART_TC_002,Verify cart item quantity can be updated via +/- buttons,User on cart page,"1. Click + button on item quantity
2. Observe line total and cart total",Quantity: increase by 1,"Quantity updates, line total recalculates (price × qty), cart subtotal updates immediately",
CART_TC_003,Verify cart item quantity can be updated by typing value,User on cart page,"1. Click quantity input
2. Type ""5"" and blur/press Enter",Quantity: manual entry to 5,"Quantity updates to 5, line total recalculates, cart total updates, input validates 1-10 range",
CART_TC_004,Verify removing item from cart works correctly,User on cart page,"1. Click Remove/X button on item
2. Confirm if prompted",Item: any in cart,"Item disappears from cart, cart badge decrements, totals recalculate, empty state shown if last item",
CART_TC_005,Verify cart persists items across page refresh,User has items in cart,"1. Add item to cart
2. Refresh browser page",Browser: F5/refresh,"Cart still contains the item, quantity and options preserved (localStorage/session/cookie)",
CART_TC_006,Verify cart persists items after browser close/reopen,User has items in cart,"1. Add item to cart
2. Close browser tab/window
3. Reopen site and go to cart",Session: closed/reopened,"Cart items still present (persistent storage), quantities and variants intact",
CART_TC_007,Verify cart shows accurate subtotal,User has multiple items in cart,"1. Add items with different prices
2. Navigate to cart
3. Observe pricing breakdown",Items: varied prices,"Subtotal = sum of line items, tax calculated per region, total = subtotal + tax + shipping (if shown)",
CART_TC_008,Verify cart applies discount code correctly,User on cart page,"1. Enter valid discount code in promo field
2. Click Apply",Code: SAVE10 (10% off),"Discount applied, success message shown, subtotal and total update with discount reflected",
CART_TC_009,Verify cart shows error for invalid/expired discount code,User on cart page,"1. Enter invalid code ""FAKECODE""
2. Click Apply",Code: invalid,"Error message: ""This code is invalid or has expired"", no discount applied, totals unchanged",
CART_TC_010,Verify cart prevents applying code multiple times,User already applied discount,"1. Apply valid code once
2. Try to apply same code again",Code: already used,"Message: ""This code has already been applied"", no duplicate discount, totals stable",
CART_TC_011,Verify cart updates when product price changes in backend,User has item in cart (price changed admin-side),"1. Add product at $50 to cart
2. Admin changes price to $60
3. User refreshes cart",Price change: backend,"Cart shows updated price $60, line total recalculates, notice may show ""Price updated""",
CART_TC_012,Verify cart handles item going out of stock while in cart,User has item that becomes unavailable,"1. Add last-in-stock item to cart
2. Another user buys last item
3. Original user views cart",Inventory: depleted,"Cart shows ""This item is now out of stock"", quantity set to 0 or item removed, checkout blocked",
CART_TC_013,Verify cart shows free shipping progress bar (if configured),User cart below free shipping threshold,"1. Add items totaling $30 (threshold $50)
2. Observe cart header/banner",Threshold: $50 free shipping,"Progress bar shows ""$20 away from free shipping"", updates dynamically as items added",
CART_TC_014,Verify cart allows proceeding to checkout with valid items,User has in-stock items in cart,"1. Ensure all items available
2. Click ""Proceed to Checkout""",Cart: valid state,"User redirected to checkout page, cart data passed securely, session maintained",
CART_TC_015,Verify cart blocks checkout if any item is out of stock,User has mixed availability items,"1. Add in-stock and out-of-stock items
2. Try to checkout",Items: mixed stock,"Error message: ""Some items are no longer available"", checkout button disabled, option to remove unavailable",
CART_TC_016,Verify cart mini-cart/drawer opens and displays correctly,User clicks cart icon in header,"1. Click cart icon (without going to /cart)
2. Observe drawer/modal",Trigger: header cart icon,"Mini-cart slides in showing items, quantities, subtotal, checkout button, close/X works",
CART_TC_017,Verify mini-cart allows updating quantity/removing items,User with open mini-cart,"1. In mini-cart, change quantity or click remove",Mini-cart: open,"Updates reflect immediately in mini-cart and main cart badge, no page reload needed (AJAX)",
CART_TC_018,Verify cart shows estimated shipping costs before checkout,User on cart page before checkout,"1. Enter zip/postal code in shipping estimator
2. Click Calculate",Location: valid postal code,"Shows available shipping methods with prices and delivery estimates, can select preferred method",
CART_TC_019,Verify cart handles guest vs logged-in user cart merging,User adds items as guest then logs in,"1. Add items as guest
2. Login to account
3. Check cart",Session: guest?logged in,"Guest cart items merge with account cart, no duplicates, quantities combined if same variant",
CART_TC_020,Verify cart empty state displays helpful messaging and CTAs,User has empty cart,1. Navigate to /cart with no items,Cart: empty,"Shows friendly message ""Your cart is empty"", suggests browsing collections, prominent ""Continue Shopping"" button",
CHECKOUT_TC_001,Verify checkout page loads with cart items pre-filled,User proceeds from cart to checkout,"1. Add items to cart
2. Click Checkout
3. Observe checkout page",Cart?Checkout flow,"Checkout page loads with order summary showing items, quantities, prices from cart",
CHECKOUT_TC_002,Verify checkout contact information section validates email,User on checkout contact step,"1. Enter invalid email format
2. Try to continue",Email: not-an-email,"Inline error: ""Please enter a valid email address"", continue button disabled until fixed",
CHECKOUT_TC_003,Verify checkout allows guest email entry without account creation,User checking out as guest,"1. Enter email in contact field
2. Uncheck ""Create account""
3. Continue","Email: guest@example.com
Create account: unchecked","Proceeds to shipping step without forcing account creation, email used for order confirmation only",
CHECKOUT_TC_004,Verify checkout shipping address form validates required fields,User on shipping step,"1. Leave first name empty
2. Fill other fields
3. Try to continue",First Name: (empty),"Inline error: ""First name is required"", form highlights missing field, continue blocked",
CHECKOUT_TC_005,Verify checkout shipping address accepts international formats,User entering non-US address,"1. Select country: Canada
2. Enter Canadian address format","Country: CA
Province: ON
Postal: K1A 0B1","Form adapts fields for country (province vs state, postal code format), validation accepts local formats",
CHECKOUT_TC_006,Verify checkout calculates shipping costs based on address,User enters shipping address,"1. Enter complete shipping address
2. Observe shipping options","Address: valid, varied locations",Available shipping methods update with accurate prices and delivery estimates for that location,
CHECKOUT_TC_007,Verify checkout allows selecting preferred shipping method,User on shipping step with options,"1. View available shipping methods
2. Select ""Express Delivery""","Shipping options: Standard, Express","Selected method highlighted, order summary updates total with shipping cost, selection persists",
CHECKOUT_TC_008,Verify checkout payment section shows available methods,User reaches payment step,"1. Scroll to payment section
2. Observe options",Payment: configured methods,"Shows: Credit Card, PayPal, Apple Pay, Google Pay (based on region/account), icons display correctly",
CHECKOUT_TC_009,Verify checkout credit card form validates card number,User entering payment info,"1. Enter invalid card number (too short)
2. Try to submit payment",Card: 123456789,"Inline error: ""Please enter a valid card number"", card type icon doesn't recognize, submit blocked",
CHECKOUT_TC_010,Verify checkout credit card form validates expiry date,User entering payment info,"1. Enter past expiry date (MM/YY)
2. Try to submit",Expiry: 01/20 (past),"Inline error: ""Card has expired"", date field highlighted, payment blocked",
CHECKOUT_TC_011,Verify checkout credit card form validates CVV,User entering payment info,"1. Enter CVV with <3 digits (or <4 for Amex)
2. Try to submit",CVV: 12,"Inline error: ""Please enter a valid security code"", CVV field highlighted, validation contextual to card type",
CHECKOUT_TC_012,Verify checkout order summary updates with all costs in real-time,User modifying cart/options during checkout,"1. Change shipping method
2. Apply discount code
3. Observe order summary","Changes: shipping, discount","Summary updates instantly: subtotal, shipping, tax, discount, total - no page reload needed",
CHECKOUT_TC_013,Verify checkout shows tax calculation based on shipping address,User enters taxable jurisdiction address,"1. Enter address in taxed region (e.g., CA, US)
2. Observe tax line in summary",Address: taxable location,"Tax calculated and displayed as separate line item, rate shown if configured, total includes tax",
CHECKOUT_TC_014,Verify checkout allows adding order notes/special instructions,User on checkout review step,"1. Locate ""Order notes"" field
2. Enter text: ""Leave at door""
3. Continue",Notes: special instructions,"Notes saved with order, visible in order confirmation and admin order details",
CHECKOUT_TC_015,Verify checkout requires accepting terms & conditions (if configured),User on final checkout step,"1. Leave terms checkbox unchecked
2. Try to place order",Terms: not accepted,"Error: ""You must agree to the terms and conditions"", checkbox highlighted, order not placed",
CHECKOUT_TC_016,Verify checkout successfully places order with valid data,User completes all checkout steps,"1. Fill contact, shipping, payment with valid data
2. Accept terms
3. Click ""Pay now""",Data: all valid,"Order confirmation page loads with order number, success message, confirmation email sent, cart cleared",
CHECKOUT_TC_017,Verify checkout handles payment failure gracefully,User submits payment that declines,"1. Use test declining card number
2. Submit payment",Payment: declined,"Error message: ""Payment failed. Please try another method"", user remains on payment step, cart not cleared",
CHECKOUT_TC_018,Verify checkout shows order confirmation with details post-purchase,User completed successful order,"1. After payment success
2. Observe confirmation page",Order: just placed,"Shows: Order #, date, items list, shipping address, payment method, total, estimated delivery, print/save options",
CHECKOUT_TC_019,Verify checkout sends order confirmation email immediately,User completed order,"1. Place successful order
2. Check email inbox (including spam)",Email: customer inbox,"Confirmation email received within 1-2 minutes, contains order details, matches on-screen confirmation",
CHECKOUT_TC_020,Verify checkout cart is cleared only after successful payment,User has items in cart during checkout,"1. Add items, start checkout
2. Close browser before payment completion
3. Reopen cart",Session: interrupted checkout,"Cart items still present (not cleared), user can resume checkout, no duplicate orders created",
PAYMENT_TC_001,Verify credit card payment processes successfully with valid test card,User on payment step,"1. Enter valid test card (Stripe test: 4242...)
2. Enter valid expiry, CVV, name
3. Submit","Card: 4242424242424242
Expiry: 12/30
CVV: 123","Payment authorized, order confirmed, success redirect, no errors in console",
PAYMENT_TC_002,Verify PayPal checkout redirects to PayPal and returns correctly,User selects PayPal,"1. Click PayPal button
2. Login to PayPal sandbox
3. Approve payment
4. Return to store",PayPal: sandbox test,"Redirects to PayPal, payment approved, returns to store confirmation page, order created successfully",
PAYMENT_TC_003,Verify Apple Pay works on supported devices/browsers,User on iOS/macOS Safari,"1. Click Apple Pay button
2. Authenticate with FaceID/TouchID
3. Confirm payment",Device: iOS 10+/macOS Sierra+,"Apple Pay sheet appears, payment authorized, order confirmed without leaving checkout page",
PAYMENT_TC_004,Verify Google Pay works on supported browsers/devices,User on Chrome/Android,"1. Click Google Pay button
2. Select saved payment method
3. Confirm","Browser: Chrome, device: Android","Google Pay bottom sheet appears, payment authorized, order confirmed seamlessly",
PAYMENT_TC_005,Verify payment form is PCI-compliant (no raw card data in logs),Developer inspects network requests,"1. Submit payment
2. Check Network tab for card data",DevTools: Network/XHR,"Card number/CVV never sent to store server directly (tokenized via Stripe/PayPal), no sensitive data in logs",
PAYMENT_TC_006,Verify payment page uses HTTPS and secure headers,User views checkout page source,"1. Check URL protocol
2. Inspect response headers",URL/Headers,"URL starts with https://, headers include: Strict-Transport-Security, X-Content-Type-Options, CSP",
PAYMENT_TC_007,Verify saved payment methods work for returning customers,User logged in with saved card,"1. Proceed to checkout
2. Select saved card from dropdown
3. Submit",Payment: saved card,"Card details pre-filled (masked), CVV required for security, payment processes successfully",
PAYMENT_TC_008,Verify payment allows editing billing address different from shipping,User on payment step,"1. Check ""Billing address different from shipping""
2. Enter separate billing address",Addresses: different,"Billing form appears, both addresses saved to order, receipt uses billing, shipping uses delivery address",
PAYMENT_TC_009,Verify payment handles 3D Secure authentication flow,User with 3DS-enabled card,"1. Use test 3DS card
2. Submit payment
3. Complete challenge in modal","Card: 3DS test (e.g., 4000002500003155)","Redirects to 3DS challenge modal/page, user authenticates, returns to store, payment completes",
PAYMENT_TC_010,Verify payment shows clear error messages for common failures,User submits problematic payment,"1. Use expired card test number
2. Submit",Card: expired test,"User-friendly error: ""Your card has expired. Please use a different card or update expiry date.""
PAYMENT_TC_011,Verify payment retry logic works after transient failure,User experiences network error during payment,1. Simulate network failure during submit",
PAYMENT_TC_012,Verify payment confirms order only after successful authorization,Developer monitors order creation,"1. Submit payment
2. Check backend logs/timing",Backend: order creation,"Order record created only after payment gateway confirms authorization (not before), no orphaned orders",
PAYMENT_TC_013,Verify payment supports multiple currencies at checkout,User changes currency before payment,"1. Switch currency to EUR
2. Proceed to payment
3. Observe amounts",Currency: EUR,"All amounts display in EUR, payment gateway receives correct currency code, charge in selected currency",
PAYMENT_TC_014,Verify payment handles partial authorization (if supported),User with gift card + card combo,"1. Apply gift card covering partial amount
2. Pay remainder with credit card",Payment: split tender,"System charges gift card first, then credit card for balance, both transactions recorded, order confirmed",
PAYMENT_TC_015,Verify payment receipt/invoice is generated and accessible,User completed order,"1. After confirmation
2. Click ""View invoice"" or check email",Order: confirmed,"PDF invoice generated with order details, taxes, payment info, downloadable and printable, matches order",
ORDER_TC_001,Verify order confirmation page displays all order details correctly,User just placed order,"1. Complete checkout successfully
2. Observe confirmation page",Order: new,"Shows: Order #, date/time, items with variants/prices, shipping address, payment method, totals, estimated delivery",
ORDER_TC_002,Verify order confirmation email contains accurate details,User receives post-purchase email,"1. Check email after order
2. Compare to on-screen confirmation",Email vs Page,"Email matches confirmation page exactly: items, prices, addresses, order number, branding, unsubscribe link",
ORDER_TC_003,Verify order appears in customer account order history,User logged in after purchase,"1. Login to account
2. Navigate to Order History",Account: order history,"New order listed with status (Processing), order number, date, total, ""View Details"" link works",
ORDER_TC_004,Verify order details page in account shows full information,User views specific order,"1. Click ""View Details"" on order in history",Order detail view,"Shows complete order: items, shipping tracking (if available), payment status, invoice download, reorder button",
ORDER_TC_005,Verify order status updates are communicated to customer,Order progresses through fulfillment,"1. Admin updates order to ""Shipped""
2. Customer checks account/email",Status change: Processing?Shipped,"Customer receives email notification, account order status updates, tracking number/link provided if applicable",
ORDER_TC_006,Verify customer can cancel order within allowed timeframe,User wants to cancel recent order,"1. Go to order details in account
2. Click ""Cancel Order"" (if available)
3. Confirm","Order: recent, unshipped","Cancellation successful, order status updates to Cancelled, refund initiated if paid, confirmation email sent",
ORDER_TC_007,Verify customer can request return/exchange through account,User wants to return item,"1. Navigate to order details
2. Click ""Return items""
3. Select items and reason",Return: valid request,"Return request submitted, RMA number generated, instructions emailed, order status shows ""Return requested""",
ORDER_TC_008,Verify order tracking link works and shows carrier updates,Order has been shipped,1. Click tracking number/link in account or email,Tracking: valid carrier #,Redirects to carrier site (UPS/FedEx/etc.) showing real-time shipment status and delivery estimate,
ORDER_TC_009,Verify reorder functionality adds previous order items to cart,User wants to repurchase,"1. In order history, click ""Reorder"" on past order","Order: completed, in-stock items","All available items from original order added to cart with same variants/quantities, out-of-stock items skipped with notice",
ORDER_TC_010,Verify order invoice can be downloaded as PDF,User needs receipt for records,"1. In order details, click ""Download Invoice""",Invoice: PDF generation,"PDF downloads with professional layout: store branding, order details, tax breakdown, payment confirmation",
ACCOUNT_TC_001,Verify account dashboard displays welcome message and quick links,User logged in,1. Login and land on /account,Dashboard: authenticated,"Shows: ""Welcome, [Name]"", quick links to Orders, Addresses, Account Details, Logout",
ACCOUNT_TC_002,Verify account order history lists all customer orders,User has placed orders,1. Navigate to Order History section,History: multiple orders,"Chronological list of orders with number, date, status, total, items count, filter by date/status works",
ACCOUNT_TC_003,Verify account allows viewing details of a specific order,User selects an order,1. Click on order number in history,Order detail view,"Shows full order information: items, shipping, payment, timeline, actions (track, return, reorder)",
ACCOUNT_TC_004,Verify account address book allows adding new address,User manages addresses,"1. Go to Addresses
2. Click ""Add new address""
3. Fill form and save",Address: valid new,"Address saved successfully, appears in address list, can be set as default for shipping/billing",
ACCOUNT_TC_005,Verify account address book allows editing existing address,User has saved addresses,"1. Click ""Edit"" on an address
2. Modify fields
3. Save changes",Address: updated info,"Changes saved, address list reflects updates, orders using this address show updated info for future orders",
ACCOUNT_TC_006,Verify account allows setting default shipping/billing address,User has multiple addresses,"1. In address list, click ""Set as default"" for shipping",Address: selected as default,"Default badge appears on selected address, checkout pre-fills this address for future orders",
ACCOUNT_TC_007,Verify account allows deleting an address (with confirmation),User wants to remove address,"1. Click ""Delete"" on address
2. Confirm deletion prompt",Address: to remove,"Address removed from list, confirmation message shown, cannot be selected in future checkouts",
ACCOUNT_TC_008,Verify account profile section allows updating name and phone,User edits personal info,"1. Go to Account Details
2. Update first/last name, phone
3. Save",Profile: updated fields,"Changes saved successfully, reflected in account dashboard and future checkout pre-fills",
ACCOUNT_TC_009,Verify account profile requires current password to change email,User changing email address,"1. Enter new email
2. Enter wrong current password
3. Submit",Current password: incorrect,"Error: ""Current password is incorrect"", email not changed, security maintained",
ACCOUNT_TC_010,Verify account shows saved payment methods (if enabled),User has saved cards,1. Navigate to Payment Methods section,Payment: saved cards,"Lists masked card numbers (•••• 4242), expiry, brand icon, option to set default or remove",
ACCOUNT_TC_011,Verify account allows removing a saved payment method,User manages payment methods,"1. Click ""Remove"" on a saved card
2. Confirm",Card: to remove,"Card removed from saved methods, confirmation message, no longer available at checkout",
ACCOUNT_TC_012,Verify account wishlist/favorites displays saved items,User has favorited products,1. Go to Wishlist/Favorites section,Wishlist: populated,"Grid/list of saved products with images, prices, availability status, quick add to cart/remove buttons",
ACCOUNT_TC_013,Verify account allows moving wishlist item to cart directly,User wants to purchase saved item,"1. In wishlist, click ""Add to Cart"" on item",Wishlist item: in stock,"Item added to cart with correct variant, success notification, item remains in wishlist or removed per config",
ACCOUNT_TC_014,Verify account shows account creation date and last login,User views account details,1. Scroll to account info section,Account metadata,"Displays: ""Member since [date]"", ""Last login: [date/time]"" for user awareness and security",
ACCOUNT_TC_015,Verify account allows exporting order history as CSV,User needs order records,"1. In Order History, click ""Export orders""
2. Select date range
3. Download",Export: CSV format,"CSV file downloads with columns: Order #, Date, Items, Total, Status, Shipping Address - usable in spreadsheets",
ACCOUNT_TC_016,Verify account session management shows active devices (if implemented),User checks security,1. Navigate to Security/Devices section,Session: active logins,"Lists devices/browsers with login time, location (approx), option to ""Sign out"" other sessions remotely",
ACCOUNT_TC_017,Verify account allows enabling two-factor authentication (2FA),User enhances security,"1. Go to Security settings
2. Enable 2FA
3. Scan QR code with authenticator app",2FA: TOTP setup,"2FA enabled, backup codes provided, future logins require code from app, recovery options explained",
ACCOUNT_TC_018,Verify account login with 2FA requires code after password,User has 2FA enabled,"1. Enter email/password on login
2. Enter TOTP code from app",2FA code: valid,"Authentication successful, user logged in, session created, code invalid/expired shows error",
ACCOUNT_TC_019,Verify account recovery flow works if 2FA device lost,User lost authenticator device,"1. On 2FA prompt, click ""Lost access?""
2. Use backup code or email recovery",Recovery: backup code,"Backup code accepted, 2FA temporarily bypassed, user prompted to re-setup 2FA, security email sent",
ACCOUNT_TC_020,Verify account deletion process is clear and requires confirmation,User requests account closure,"1. Navigate to Close Account
2. Read implications
3. Confirm with password",Deletion: confirmed,"Account soft-deleted (or hard per policy), data anonymized per privacy policy, confirmation email, login no longer possible",
UI_UX_TC_001,Verify site maintains consistent branding and design system,User navigates across pages,"1. Visit homepage, product page, cart, checkout",Pages: multiple,"Consistent colors, fonts, button styles, spacing, iconography throughout - no visual discrepancies",
UI_UX_TC_002,Verify all interactive elements have visible hover/focus states,User interacts with UI,"1. Hover over buttons, links, inputs
2. Tab through with keyboard",Elements: interactive,"Clear visual feedback: color change, underline, shadow, focus ring - meets WCAG 2.1 AA contrast",
UI_UX_TC_003,Verify site navigation is intuitive and logical,User explores site structure,"1. Try to find a product category
2. Try to locate account settings","Navigation: primary, footer","Menu labels clear, hierarchy logical, breadcrumbs on inner pages, ""Back"" buttons work as expected",
UI_UX_TC_004,Verify site loads skeleton loaders during content fetch,User on slow connection,"1. Throttle network to Slow 3G
2. Navigate to product page",Loading: async content,"Skeleton screens or spinners show while images/data load, prevents layout shift, perceived performance improved",
UI_UX_TC_005,Verify error messages are helpful and actionable,User triggers validation errors,"1. Submit form with missing required field
2. Observe error display",Forms: any with validation,"Errors in red, near relevant field, plain language explaining issue and how to fix (not just ""Invalid"")",
UI_UX_TC_006,Verify success messages confirm user actions clearly,User completes actions,"1. Add to cart, submit review, place order
2. Observe feedback",Actions: successful,"Green/toast notifications: ""Added to cart!"", ""Review submitted!"", ""Order confirmed!"" with relevant details",
UI_UX_TC_007,Verify site supports keyboard-only navigation fully,User without mouse,1. Use Tab/Shift+Tab/Enter to navigate entire flow: browse?product?cart?checkout,Keyboard: full flow,"All interactive elements reachable, logical tab order, skip links, no keyboard traps, visible focus indicators",
UI_UX_TC_008,Verify site is accessible to screen reader users (basic),User with NVDA/VoiceOver,"1. Enable screen reader
2. Navigate key pages and actions",Screen reader: enabled,"Proper ARIA labels, heading hierarchy, alt text, form labels, live regions for dynamic updates announced",
UI_UX_TC_009,Verify site text is resizable up to 200% without breaking layout,User adjusts browser zoom,"1. Zoom browser to 200%
2. Navigate key pages",Zoom: 200%,"Content reflows appropriately, no horizontal scroll, text remains readable, interactive elements still usable",
UI_UX_TC_010,Verify site color scheme has sufficient contrast for readability,User with visual impairment,1. Use contrast checker tool on text/background pairs,"Colors: primary text, buttons","All text meets WCAG AA (4.5:1 normal, 3:1 large), buttons have contrast against background",
UI_UX_TC_011,Verify mobile touch targets are at least 44x44px,User on mobile device,"1. Inspect buttons, links, inputs on mobile viewport",Touch targets: interactive elements,"All tappable elements have minimum 44x44px touch area, adequate spacing between targets to prevent mis-taps",
UI_UX_TC_012,Verify site avoids auto-playing media or disruptive animations,User visits homepage,1. Load homepage and observe behavior,"Media: images, videos","No auto-playing video/audio, animations respect prefers-reduced-motion, no unexpected pop-ups on entry",
UI_UX_TC_013,Verify site provides clear visual hierarchy and scannable content,User scans product page,1. View product detail page layout,"Content: headings, text, CTAs","Clear heading levels (H1-H3), bullet points for features, prominent CTA buttons, whitespace for readability",
UI_UX_TC_014,Verify site handles empty states with helpful guidance,User views empty cart/wishlist,1. Navigate to empty cart or wishlist,State: empty data,"Friendly illustration/message, explains why empty, provides clear next steps (""Start shopping"", ""Browse collections"")",
UI_UX_TC_015,Verify site provides loading states for async actions,User performs actions,"1. Click Add to Cart, Apply Coupon, Place Order",Actions: async,"Buttons show spinner/disabled state while processing, prevents duplicate submissions, user knows action in progress",
UI_UX_TC_016,Verify site confirms destructive actions before executing,User attempts delete/remove,"1. Click Remove item from cart or Delete address
2. Observe prompt",Action: destructive,"Modal/confirmation dialog: ""Are you sure? This cannot be undone."" with Cancel/Confirm buttons",
UI_UX_TC_017,Verify site maintains scroll position after actions like filtering,User paginates or filters,"1. Scroll down collection page
2. Apply a filter
3. Observe scroll position",Scroll: post-action,Page maintains approximate scroll position or returns to top with clear indication of results change,
UI_UX_TC_018,Verify site provides breadcrumb navigation on inner pages,User on product or collection page,1. Navigate to /collections/jackets/product-xyz,Breadcrumbs: visible,"Shows: Home > Collections > Jackets > Product Name, each segment clickable except current page",
UI_UX_TC_019,Verify site search provides autocomplete suggestions as user types,User uses search bar,"1. Type ""jac"" in search field
2. Observe dropdown",Search: partial query,"Dropdown shows suggested products/collections matching prefix, with images/prices, clickable to navigate",
UI_UX_TC_020,Verify site provides clear 404 error page with recovery options,User visits invalid URL,1. Navigate to /products/nonexistent-item,URL: 404,"Custom 404 page: friendly message, search bar, links to popular collections/homepage, no dead-end experience",
ERROR_EDGE_TC_001,Verify site handles JavaScript errors gracefully without breaking UI,User encounters script error,"1. Simulate JS error via console
2. Interact with page",Error: uncaught exception,"Core functionality remains usable, error logged to monitoring service, user not shown raw error stack",
ERROR_EDGE_TC_02,Verify site handles API timeouts with retry or fallback,User on slow/unstable network,"1. Throttle network to offline then restore
2. Perform add to cart",Network: flaky,"System retries failed requests, shows ""Connection issue - retrying..."" message, doesn't lose user data",
ERROR_EDGE_TC_003,Verify site prevents duplicate form submissions via double-click,User rapidly clicks submit,"1. On checkout, double-click ""Place Order"" button",Button: payment submit,"Button disabled after first click, shows spinner, prevents duplicate charges/orders, idempotent backend",
ERROR_EDGE_TC_004,Verify site handles session expiration during checkout gracefully,User idle during checkout,"1. Start checkout, wait 30+ min idle
2. Try to continue",Session: expired,"Redirects to login with message ""Session expired"", preserves cart contents, user can resume after re-auth",
ERROR_EDGE_TC_005,Verify site handles concurrent cart modifications correctly,User has multiple tabs open,"1. Add item in Tab A
2. Remove same item in Tab B
3. Refresh both",Tabs: concurrent cart,"Cart state syncs correctly, no race conditions, last valid action wins or merge logic applied",
